BEEID,CNUM,CONDITION,CHOICE,TESTORDER
1,1,SMALL,0,FIRST
1,2,SMALL,1,FIRST
1,3,SMALL,1,FIRST
1,4,SMALL,1,FIRST
1,5,SMALL,0,FIRST
1,6,SMALL,1,FIRST
1,7,SMALL,0,FIRST
1,8,SMALL,0,FIRST
1,9,SMALL,0,FIRST
1,10,SMALL,0,FIRST
1,1,LARGE,1,FIRST
1,2,LARGE,1,FIRST
1,3,LARGE,1,FIRST
1,4,LARGE,1,FIRST
1,5,LARGE,1,FIRST
1,6,LARGE,1,FIRST
1,7,LARGE,1,FIRST
1,8,LARGE,0,FIRST
1,9,LARGE,0,FIRST
1,10,LARGE,0,FIRST
1,1,DIFFICULT,0,FIRST
1,2,DIFFICULT,1,FIRST
1,3,DIFFICULT,0,FIRST
1,4,DIFFICULT,1,FIRST
1,5,DIFFICULT,0,FIRST
1,6,DIFFICULT,1,FIRST
1,7,DIFFICULT,0,FIRST
1,8,DIFFICULT,0,FIRST
1,9,DIFFICULT,1,FIRST
1,10,DIFFICULT,0,FIRST
2,1,SMALL,1,FIRST
2,2,SMALL,1,FIRST
2,3,SMALL,0,FIRST
2,4,SMALL,0,FIRST
2,5,SMALL,0,FIRST
2,6,SMALL,0,FIRST
2,7,SMALL,0,FIRST
2,8,SMALL,1,FIRST
2,9,SMALL,1,FIRST
2,10,SMALL,1,FIRST
2,1,LARGE,0,FIRST
2,2,LARGE,0,FIRST
2,3,LARGE,0,FIRST
2,4,LARGE,0,FIRST
2,5,LARGE,1,FIRST
2,6,LARGE,1,FIRST
2,7,LARGE,0,FIRST
2,8,LARGE,0,FIRST
2,9,LARGE,0,FIRST
2,10,LARGE,0,FIRST
2,1,DIFFICULT,1,FIRST
2,2,DIFFICULT,1,FIRST
2,3,DIFFICULT,1,FIRST
2,4,DIFFICULT,1,FIRST
2,5,DIFFICULT,1,FIRST
2,6,DIFFICULT,0,FIRST
2,7,DIFFICULT,0,FIRST
2,8,DIFFICULT,1,FIRST
2,9,DIFFICULT,0,FIRST
2,10,DIFFICULT,0,FIRST
3,1,SMALL,1,FIRST
3,2,SMALL,1,FIRST
3,3,SMALL,0,FIRST
3,4,SMALL,1,FIRST
3,5,SMALL,0,FIRST
3,6,SMALL,1,FIRST
3,7,SMALL,0,FIRST
3,8,SMALL,1,FIRST
3,9,SMALL,0,FIRST
3,10,SMALL,1,FIRST
3,1,LARGE,1,FIRST
3,2,LARGE,0,FIRST
3,3,LARGE,0,FIRST
3,4,LARGE,1,FIRST
3,5,LARGE,1,FIRST
3,6,LARGE,0,FIRST
3,7,LARGE,0,FIRST
3,8,LARGE,1,FIRST
3,9,LARGE,1,FIRST
3,10,LARGE,0,FIRST
3,1,DIFFICULT,1,FIRST
3,2,DIFFICULT,0,FIRST
3,3,DIFFICULT,0,FIRST
3,4,DIFFICULT,0,FIRST
3,5,DIFFICULT,1,FIRST
3,6,DIFFICULT,0,FIRST
3,7,DIFFICULT,0,FIRST
3,8,DIFFICULT,1,FIRST
3,9,DIFFICULT,1,FIRST
3,10,DIFFICULT,1,FIRST
4,1,SMALL,0,FIRST
4,2,SMALL,0,FIRST
4,3,SMALL,0,FIRST
4,4,SMALL,0,FIRST
4,5,SMALL,0,FIRST
4,6,SMALL,0,FIRST
4,7,SMALL,1,FIRST
4,8,SMALL,1,FIRST
4,9,SMALL,0,FIRST
4,10,SMALL,1,FIRST
4,1,LARGE,1,FIRST
4,2,LARGE,1,FIRST
4,3,LARGE,1,FIRST
4,4,LARGE,0,FIRST
4,5,LARGE,1,FIRST
4,6,LARGE,0,FIRST
4,7,LARGE,1,FIRST
4,8,LARGE,1,FIRST
4,9,LARGE,1,FIRST
4,10,LARGE,0,FIRST
4,1,DIFFICULT,0,FIRST
4,2,DIFFICULT,0,FIRST
4,3,DIFFICULT,1,FIRST
4,4,DIFFICULT,1,FIRST
