CNUM,BEEID,CHOICE,TEST,CONDITION,GROUP
1,1,1,Learning,PRIME,12
2,1,0,Learning,PRIME,12
3,1,1,Learning,PRIME,12
4,1,1,Learning,PRIME,12
5,1,1,Learning,PRIME,12
6,1,1,Learning,PRIME,12
7,1,1,Learning,PRIME,12
8,1,1,Learning,PRIME,12
9,1,0,Learning,PRIME,12
10,1,0,Learning,PRIME,12
1,1,0,7v9,PRIME,12
2,1,0,7v9,PRIME,12
3,1,1,7v9,PRIME,12
4,1,0,7v9,PRIME,12
5,1,1,7v9,PRIME,12
6,1,1,7v9,PRIME,12
7,1,1,7v9,PRIME,12
8,1,1,7v9,PRIME,12
9,1,1,7v9,PRIME,12
10,1,1,7v9,PRIME,12
1,1,1,7v8,PRIME,12
2,1,0,7v8,PRIME,12
3,1,1,7v8,PRIME,12
4,1,0,7v8,PRIME,12
5,1,0,7v8,PRIME,12
6,1,1,7v8,PRIME,12
7,1,0,7v8,PRIME,12
8,1,0,7v8,PRIME,12
9,1,1,7v8,PRIME,12
10,1,1,7v8,PRIME,12
1,2,0,Learning,COMPOSITE,12
2,2,0,Learning,COMPOSITE,12
3,2,1,Learning,COMPOSITE,12
4,2,1,Learning,COMPOSITE,12
5,2,0,Learning,COMPOSITE,12
6,2,1,Learning,COMPOSITE,12
7,2,0,Learning,COMPOSITE,12
8,2,0,Learning,COMPOSITE,12
9,2,1,Learning,COMPOSITE,12
10,2,0,Learning,COMPOSITE,12
1,2,1,7v9,COMPOSITE,12
2,2,0,7v9,COMPOSITE,12
3,2,1,7v9,COMPOSITE,12
4,2,0,7v9,COMPOSITE,12
5,2,0,7v9,COMPOSITE,12
6,2,0,7v9,COMPOSITE,12
7,2,1,7v9,COMPOSITE,12
8,2,0,7v9,COMPOSITE,12
9,2,1,7v9,COMPOSITE,12
10,2,0,7v9,COMPOSITE,12
1,2,1,7v8,COMPOSITE,12
2,2,1,7v8,COMPOSITE,12
3,2,0,7v8,COMPOSITE,12
4,2,1,7v8,COMPOSITE,12
5,2,0,7v8,COMPOSITE,12
6,2,1,7v8,COMPOSITE,12
7,2,1,7v8,COMPOSITE,12
8,2,0,7v8,COMPOSITE,12
9,2,1,7v8,COMPOSITE,12
10,2,1,7v8,COMPOSITE,12
1,3,0,Learning,PRIME,21
2,3,0,Learning,PRIME,21
3,3,1,Learning,PRIME,21
4,3,1,Learning,PRIME,21
5,3,1,Learning,PRIME,21
6,3,1,Learning,PRIME,21
7,3,0,Learning,PRIME,21
8,3,0,Learning,PRIME,21
9,3,0,Learning,PRIME,21
10,3,1,Learning,PRIME,21
1,3,1,7v9,PRIME,21
2,3,0,7v9,PRIME,21
3,3,1,7v9,PRIME,21
4,3,0,7v9,PRIME,21
5,3,0,7v9,PRIME,21
6,3,1,7v9,PRIME,21
7,3,1,7v9,PRIME,21
8,3,0,7v9,PRIME,21
9,3,1,7v9,PRIME,21
10,3,1,7v9,PRIME,21
1,3,1,7v8,PRIME,21
2,3,1,7v8,PRIME,21
3,3,0,7v8,PRIME,21
4,3,1,7v8,PRIME,21
5,3,0,7v8,PRIME,21
6,3,1,7v8,PRIME,21
7,3,0,7v8,PRIME,21
8,3,1,7v8,PRIME,21
9,3,1,7v8,PRIME,21
10,3,0,7v8,PRIME,21
1,4,0,Learning,COMPOSITE,21
2,4,0,Learning,COMPOSITE,21
3,4,0,Learning,COMPOSITE,21
4,4,1,Learning,COMPOSITE,21
5,4,0,Learning,COMPOSITE,21
6,4,1,Learning,COMPOSITE,21
7,4,1,Learning,COMPOSITE,21
8,4,1,Learning,COMPOSITE,21
9,4,0,Learning,COMPOSITE,21
10,4,1,Learning,COMPOSITE,21
1,4,1,7v9,COMPOSITE,21
2,4,1,7v9,COMPOSITE,21
3,4,0,7v9,COMPOSITE,21
4,4,1,7v9,COMPOSITE,21
5,4,0,7v9,COMPOSITE,21
6,4,0,7v9,COMPOSITE,21
7,4,1,7v9,COMPOSITE,21
8,4,0,7v9,COMPOSITE,21
9,4,0,7v9,COMPOSITE,21
10,4,0,7v9,COMPOSITE,21
1,4,1,7v8,COMPOSITE,21
2,4,1,7v8,COMPOSITE,21
3,4,1,7v8,COMPOSITE,21
4,4,0,7v8,COMPOSITE,21
5,4,0,7v8,COMPOSITE,21
6,4,1,7v8,COMPOSITE,21
7,4,0,7v8,COMPOSITE,21
8,4,1,7v8,COMPOSITE,21
9,4,1,7v8,COMPOSITE,21
10,4,0,7v8,COMPOSITE,21
1,5,1,Learning,PRIME,12
2,5,1,Learning,PRIME,12
3,5,0,Learning,PRIME,12
4,5,0,Learning,PRIME,12
5,5,1,Learning,PRIME,12
