CNUM,BEEID,CHOICE,CONDITION,ORDER
1,1,0,PRIME,12
2,1,0,PRIME,12
3,1,1,PRIME,12
4,1,0,PRIME,12
5,1,1,PRIME,12
6,1,1,PRIME,12
7,1,1,PRIME,12
8,1,0,PRIME,12
9,1,0,PRIME,12
10,1,1,PRIME,12
11,1,1,PRIME,12
12,1,0,PRIME,12
13,1,0,PRIME,12
14,1,1,PRIME,12
15,1,1,PRIME,12
16,1,1,PRIME,12
17,1,1,PRIME,12
18,1,1,PRIME,12
19,1,0,PRIME,12
20,1,0,PRIME,12
21,1,0,PRIME,12
22,1,1,PRIME,12
23,1,0,PRIME,12
24,1,1,PRIME,12
25,1,1,PRIME,12
26,1,0,PRIME,12
27,1,1,PRIME,12
28,1,0,PRIME,12
29,1,1,PRIME,12
30,1,1,PRIME,12
31,1,0,PRIME,12
32,1,1,PRIME,12
33,1,1,PRIME,12
34,1,0,PRIME,12
35,1,1,PRIME,12
36,1,0,PRIME,12
37,1,1,PRIME,12
38,1,0,PRIME,12
39,1,0,PRIME,12
40,1,1,PRIME,12
41,1,0,PRIME,12
42,1,1,PRIME,12
43,1,1,PRIME,12
44,1,0,PRIME,12
45,1,1,PRIME,12
46,1,1,PRIME,12
47,1,0,PRIME,12
48,1,1,PRIME,12
49,1,1,PRIME,12
50,1,0,PRIME,12
51,1,1,PRIME,12
52,1,0,PRIME,12
53,1,1,PRIME,12
54,1,0,PRIME,12
55,1,1,PRIME,12
56,1,1,PRIME,12
57,1,0,PRIME,12
58,1,0,PRIME,12
59,1,1,PRIME,12
60,1,1,PRIME,12
1,2,1,COMPOSITE,12
2,2,1,COMPOSITE,12
3,2,0,COMPOSITE,12
4,2,1,COMPOSITE,12
5,2,1,COMPOSITE,12
6,2,0,COMPOSITE,12
7,2,1,COMPOSITE,12
8,2,1,COMPOSITE,12
9,2,1,COMPOSITE,12
10,2,0,COMPOSITE,12
11,2,0,COMPOSITE,12
12,2,1,COMPOSITE,12
13,2,1,COMPOSITE,12
14,2,1,COMPOSITE,12
15,2,1,COMPOSITE,12
16,2,0,COMPOSITE,12
17,2,1,COMPOSITE,12
18,2,1,COMPOSITE,12
19,2,1,COMPOSITE,12
20,2,0,COMPOSITE,12
21,2,1,COMPOSITE,12
22,2,0,COMPOSITE,12
23,2,0,COMPOSITE,12
24,2,1,COMPOSITE,12
25,2,1,COMPOSITE,12
26,2,1,COMPOSITE,12
27,2,1,COMPOSITE,12
28,2,0,COMPOSITE,12
29,2,1,COMPOSITE,12
30,2,0,COMPOSITE,12
31,2,1,COMPOSITE,12
32,2,0,COMPOSITE,12
33,2,1,COMPOSITE,12
34,2,0,COMPOSITE,12
35,2,1,COMPOSITE,12
36,2,1,COMPOSITE,12
37,2,1,COMPOSITE,12
38,2,0,COMPOSITE,12
39,2,1,COMPOSITE,12
40,2,0,COMPOSITE,12
41,2,1,COMPOSITE,12
42,2,1,COMPOSITE,12
43,2,0,COMPOSITE,12
44,2,1,COMPOSITE,12
45,2,1,COMPOSITE,12
46,2,0,COMPOSITE,12
47,2,1,COMPOSITE,12
48,2,1,COMPOSITE,12
49,2,1,COMPOSITE,12
50,2,0,COMPOSITE,12
51,2,0,COMPOSITE,12
52,2,1,COMPOSITE,12
53,2,1,COMPOSITE,12
54,2,1,COMPOSITE,12
55,2,0,COMPOSITE,12
56,2,1,COMPOSITE,12
57,2,1,COMPOSITE,12
58,2,1,COMPOSITE,12
59,2,1,COMPOSITE,12
60,2,0,COMPOSITE,12
1,3,1,PRIME,21
2,3,0,PRIME,21
3,3,0,PRIME,21
4,3,0,PRIME,21
5,3,1,PRIME,21
6,3,1,PRIME,21
7,3,1,PRIME,21
8,3,0,PRIME,21
9,3,1,PRIME,21
10,3,0,PRIME,21
11,3,1,PRIME,21
12,3,1,PRIME,21
13,3,0,PRIME,21
14,3,0,PRIME,21
15,3,0,PRIME,21
16,3,0,PRIME,21
17,3,1,PRIME,21
18,3,0,PRIME,21
19,3,0,PRIME,21
20,3,1,PRIME,21
21,3,0,PRIME,21
22,3,1,PRIME,21
23,3,1,PRIME,21
24,3,1,PRIME,21
25,3,0,PRIME,21
26,3,0,PRIME,21
27,3,1,PRIME,21
28,3,0,PRIME,21
29,3,1,PRIME,21
30,3,1,PRIME,21
31,3,1,PRIME,21
32,3,1,PRIME,21
33,3,0,PRIME,21
34,3,0,PRIME,21
35,3,0,PRIME,21
36,3,1,PRIME,21
37,3,1,PRIME,21
38,3,0,PRIME,21
39,3,0,PRIME,21
40,3,0,PRIME,21
41,3,1,PRIME,21
42,3,0,PRIME,21
43,3,0,PRIME,21
44,3,1,PRIME,21
45,3,0,PRIME,21
46,3,1,PRIME,21
47,3,0,PRIME,21
48,3,1,PRIME,21
49,3,0,PRIME,21
50,3,0,PRIME,21
51,3,1,PRIME,21
52,3,1,PRIME,21
53,3,1,PRIME,21
54,3,1,PRIME,21
55,3,1,PRIME,21
56,3,0,PRIME,21
57,3,1,PRIME,21
58,3,0,PRIME,21
59,3,1,PRIME,21
60,3,1,PRIME,21
1,4,1,COMPOSITE,21
2,4,0,COMPOSITE,21
3,4,1,COMPOSITE,21
4,4,1,COMPOSITE,21
5,4,0,COMPOSITE,21
6,4,1,COMPOSITE,21
7,4,0,COMPOSITE,21
8,4,1,COMPOSITE,21
9,4,1,COMPOSITE,21
10,4,0,COMPOSITE,21
11,4,0,COMPOSITE,21
12,4,1,COMPOSITE,21
13,4,0,COMPOSITE,21
14,4,1,COMPOSITE,21
15,4,0,COMPOSITE,21
16,4,1,COMPOSITE,21
17,4,1,COMPOSITE,21
18,4,1,COMPOSITE,21
19,4,1,COMPOSITE,21
20,4,0,COMPOSITE,21
21,4,1,COMPOSITE,21
22,4,1,COMPOSITE,21
23,4,1,COMPOSITE,21
24,4,0,COMPOSITE,21
25,4,1,COMPOSITE,21
26,4,0,COMPOSITE,21
27,4,0,COMPOSITE,21
28,4,1,COMPOSITE,21
29,4,1,COMPOSITE,21
30,4,0,COMPOSITE,21
31,4,1,COMPOSITE,21
32,4,1,COMPOSITE,21
33,4,1,COMPOSITE,21
34,4,0,COMPOSITE,21
35,4,0,COMPOSITE,21
36,4,1,COMPOSITE,21
37,4,1,COMPOSITE,21
38,4,1,COMPOSITE,21
39,4,1,COMPOSITE,21
40,4,0,COMPOSITE,21
41,4,0,COMPOSITE,21
42,4,1,COMPOSITE,21
43,4,1,COMPOSITE,21
44,4,0,COMPOSITE,21
45,4,1,COMPOSITE,21
46,4,0,COMPOSITE,21
47,4,1,COMPOSITE,21
48,4,0,COMPOSITE,21
49,4,1,COMPOSITE,21
50,4,1,COMPOSITE,21
51,4,0,COMPOSITE,21
52,4,1,COMPOSITE,21
53,4,1,COMPOSITE,21
54,4,0,COMPOSITE,21
55,4,1,COMPOSITE,21
56,4,1,COMPOSITE,21
57,4,0,COMPOSITE,21
58,4,1,COMPOSITE,21
59,4,0,COMPOSITE,21
60,4,0,COMPOSITE,21
1,5,1,PRIME,12
2,5,0,PRIME,12
3,5,1,PRIME,12
4,5,1,PRIME,12
5,5,0,PRIME,12
6,5,1,PRIME,12
7,5,0,PRIME,12
8,5,1,PRIME,12
9,5,0,PRIME,12
10,5,1,PRIME,12
11,5,0,PRIME,12
12,5,1,PRIME,12
13,5,1,PRIME,12
14,5,0,PRIME,12
15,5,1,PRIME,12
16,5,0,PRIME,12
17,5,1,PRIME,12
18,5,0,PRIME,12
19,5,1,PRIME,12
20,5,0,PRIME,12
21,5,1,PRIME,12
22,5,0,PRIME,12
23,5,0,PRIME,12
24,5,1,PRIME,12
25,5,0,PRIME,12
26,5,1,PRIME,12
27,5,1,PRIME,12
28,5,0,PRIME,12
29,5,1,PRIME,12
30,5,1,PRIME,12
31,5,0,PRIME,12
32,5,1,PRIME,12
33,5,1,PRIME,12
34,5,0,PRIME,12
35,5,0,PRIME,12
36,5,1,PRIME,12
37,5,1,PRIME,12
38,5,1,PRIME,12
39,5,1,PRIME,12
40,5,1,PRIME,12
41,5,1,PRIME,12
42,5,0,PRIME,12
43,5,1,PRIME,12
44,5,1,PRIME,12
45,5,0,PRIME,12
46,5,1,PRIME,12
47,5,1,PRIME,12
48,5,0,PRIME,12
49,5,1,PRIME,12
50,5,1,PRIME,12
51,5,0,PRIME,12
52,5,1,PRIME,12
53,5,0,PRIME,12
54,5,0,PRIME,12
55,5,0,PRIME,12
56,5,1,PRIME,12
57,5,1,PRIME,12
58,5,1,PRIME,12
59,5,0,PRIME,12
60,5,1,PRIME,12
1,6,1,COMPOSITE,12
2,6,0,COMPOSITE,12
3,6,1,COMPOSITE,12
4,6,1,COMPOSITE,12
5,6,1,COMPOSITE,12
6,6,1,COMPOSITE,12
7,6,0,COMPOSITE,12
8,6,1,COMPOSITE,12
9,6,1,COMPOSITE,12
10,6,0,COMPOSITE,12
11,6,1,COMPOSITE,12
12,6,1,COMPOSITE,12
13,6,1,COMPOSITE,12
14,6,0,COMPOSITE,12
15,6,1,COMPOSITE,12
16,6,1,COMPOSITE,12
17,6,0,COMPOSITE,12
18,6,1,COMPOSITE,12
19,6,1,COMPOSITE,12
20,6,0,COMPOSITE,12
21,6,1,COMPOSITE,12
22,6,1,COMPOSITE,12
23,6,1,COMPOSITE,12
24,6,0,COMPOSITE,12
25,6,1,COMPOSITE,12
26,6,0,COMPOSITE,12
27,6,1,COMPOSITE,12
28,6,1,COMPOSITE,12
29,6,1,COMPOSITE,12
30,6,1,COMPOSITE,12
31,6,1,COMPOSITE,12
32,6,1,COMPOSITE,12
33,6,1,COMPOSITE,12
34,6,1,COMPOSITE,12
35,6,1,COMPOSITE,12
36,6,1,COMPOSITE,12
37,6,1,COMPOSITE,12
38,6,1,COMPOSITE,12
39,6,1,COMPOSITE,12
40,6,0,COMPOSITE,12
41,6,0,COMPOSITE,12
42,6,1,COMPOSITE,12
43,6,1,COMPOSITE,12
44,6,0,COMPOSITE,12
45,6,0,COMPOSITE,12
46,6,1,COMPOSITE,12
47,6,0,COMPOSITE,12
48,6,0,COMPOSITE,12
49,6,0,COMPOSITE,12
50,6,1,COMPOSITE,12
51,6,1,COMPOSITE,12
