BEEID,TEST,CHOICE,CONDITION
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,7v9,1,POSITIVE
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,7v9,0,POSITIVE
1,11v9,1,POSITIVE
1,11v9,0,POSITIVE
1,11v9,0,POSITIVE
1,11v9,1,POSITIVE
1,11v9,1,POSITIVE
1,11v9,1,POSITIVE
1,11v9,1,POSITIVE
1,11v9,1,POSITIVE
1,11v9,1,POSITIVE
1,11v9,1,POSITIVE
1,13v15,0,POSITIVE
1,13v15,0,POSITIVE
1,13v15,1,POSITIVE
1,13v15,1,POSITIVE
1,13v15,0,POSITIVE
1,13v15,0,POSITIVE
1,13v15,1,POSITIVE
1,13v15,1,POSITIVE
1,13v15,1,POSITIVE
1,13v15,0,POSITIVE
2,7v9,0,NEGATIVE
2,7v9,0,NEGATIVE
2,7v9,0,NEGATIVE
2,7v9,0,NEGATIVE
2,7v9,1,NEGATIVE
2,7v9,0,NEGATIVE
2,7v9,1,NEGATIVE
2,7v9,1,NEGATIVE
2,7v9,0,NEGATIVE
2,7v9,0,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,0,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,1,NEGATIVE
2,11v9,0,NEGATIVE
2,11v9,0,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,0,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,1,NEGATIVE
2,13v15,0,NEGATIVE
2,13v15,0,NEGATIVE
3,7v9,0,POSITIVE
3,7v9,0,POSITIVE
3,7v9,0,POSITIVE
3,7v9,1,POSITIVE
3,7v9,1,POSITIVE
3,7v9,1,POSITIVE
3,7v9,0,POSITIVE
3,7v9,1,POSITIVE
3,7v9,1,POSITIVE
3,7v9,1,POSITIVE
3,11v9,1,POSITIVE
3,11v9,1,POSITIVE
3,11v9,1,POSITIVE
3,11v9,1,POSITIVE
3,11v9,1,POSITIVE
3,11v9,0,POSITIVE
3,11v9,0,POSITIVE
3,11v9,0,POSITIVE
3,11v9,1,POSITIVE
3,11v9,1,POSITIVE
3,13v15,1,POSITIVE
3,13v15,1,POSITIVE
3,13v15,0,POSITIVE
3,13v15,1,POSITIVE
3,13v15,1,POSITIVE
3,13v15,0,POSITIVE
3,13v15,1,POSITIVE
3,13v15,0,POSITIVE
3,13v15,0,POSITIVE
3,13v15,0,POSITIVE
4,7v9,1,NEGATIVE
4,7v9,1,NEGATIVE
4,7v9,1,NEGATIVE
4,7v9,1,NEGATIVE
4,7v9,0,NEGATIVE
4,7v9,0,NEGATIVE
4,7v9,1,NEGATIVE
4,7v9,1,NEGATIVE
4,7v9,1,NEGATIVE
4,7v9,0,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,1,NEGATIVE
4,11v9,0,NEGATIVE
4,11v9,0,NEGATIVE
4,11v9,1,NEGATIVE
4,13v15,0,NEGATIVE
4,13v15,0,NEGATIVE
4,13v15,0,NEGATIVE
4,13v15,1,NEGATIVE
4,13v15,0,NEGATIVE
4,13v15,1,NEGATIVE
4,13v15,0,NEGATIVE
4,13v15,1,NEGATIVE
4,13v15,0,NEGATIVE
4,13v15,0,NEGATIVE
5,7v9,1,NEGATIVE
5,7v9,1,NEGATIVE
5,7v9,1,NEGATIVE
5,7v9,1,NEGATIVE
5,7v9,0,NEGATIVE
