BEEID,TEST,CHOICE,CONDITION,CNUM
1,7v9,1,POS,1
1,7v9,0,POS,2
1,7v9,1,POS,3
1,7v9,1,POS,4
1,7v9,1,POS,5
1,7v9,0,POS,6
1,7v9,1,POS,7
1,7v9,1,POS,8
1,7v9,1,POS,9
1,7v9,0,POS,10
1,11v9,0,POS,1
1,11v9,1,POS,2
1,11v9,0,POS,3
1,11v9,1,POS,4
1,11v9,1,POS,5
1,11v9,1,POS,6
1,11v9,0,POS,7
1,11v9,1,POS,8
1,11v9,1,POS,9
1,11v9,0,POS,10
1,13v15,1,POS,1
1,13v15,1,POS,2
1,13v15,1,POS,3
1,13v15,1,POS,4
1,13v15,1,POS,5
1,13v15,0,POS,6
1,13v15,1,POS,7
1,13v15,1,POS,8
1,13v15,0,POS,9
1,13v15,0,POS,10
1,control,0,POS,1
1,control,0,POS,2
1,control,1,POS,3
1,control,1,POS,4
1,control,1,POS,5
1,control,0,POS,6
1,control,0,POS,7
1,control,0,POS,8
1,control,1,POS,9
1,control,0,POS,10
2,7v9,1,NEG,1
2,7v9,1,NEG,2
2,7v9,1,NEG,3
2,7v9,1,NEG,4
2,7v9,1,NEG,5
2,7v9,1,NEG,6
2,7v9,1,NEG,7
2,7v9,1,NEG,8
2,7v9,1,NEG,9
2,7v9,1,NEG,10
2,11v9,0,NEG,1
2,11v9,0,NEG,2
2,11v9,0,NEG,3
2,11v9,1,NEG,4
2,11v9,1,NEG,5
2,11v9,0,NEG,6
2,11v9,0,NEG,7
2,11v9,0,NEG,8
2,11v9,1,NEG,9
2,11v9,0,NEG,10
2,13v15,1,NEG,1
2,13v15,1,NEG,2
2,13v15,1,NEG,3
2,13v15,1,NEG,4
2,13v15,0,NEG,5
2,13v15,0,NEG,6
2,13v15,0,NEG,7
2,13v15,0,NEG,8
2,13v15,0,NEG,9
2,13v15,0,NEG,10
2,control,1,NEG,1
2,control,1,NEG,2
2,control,0,NEG,3
2,control,0,NEG,4
2,control,1,NEG,5
2,control,0,NEG,6
2,control,0,NEG,7
2,control,1,NEG,8
2,control,1,NEG,9
2,control,0,NEG,10
3,7v9,1,POS,1
