BEEID,CHOICE,NUMBER,SHAPE,CONDITION,STIMULI,PRIMECOMP
1,0,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,0,5 v 6,Square,Learning,EE,PRIME
1,1,5 v 6,Square,Learning,EE,PRIME
1,0,5 v 6,Square,Learning,EE,PRIME
2,1,5 v 10,Triangle,Learning,SA,COMPOSITE
2,0,5 v 10,Triangle,Learning,SA,COMPOSITE
2,0,5 v 10,Triangle,Learning,SA,COMPOSITE
2,1,5 v 10,Triangle,Learning,SA,COMPOSITE
2,1,5 v 10,Triangle,Learning,SA,COMPOSITE
2,0,5 v 10,Triangle,Learning,SA,COMPOSITE
2,1,5 v 10,Triangle,Learning,SA,COMPOSITE
2,0,5 v 10,Triangle,Learning,SA,COMPOSITE
2,1,5 v 10,Triangle,Learning,SA,COMPOSITE
2,0,5 v 10,Triangle,Learning,SA,COMPOSITE
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,0,4 v 11,Triangle,Learning,SA,PRIME
3,0,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
3,1,4 v 11,Triangle,Learning,SA,PRIME
4,0,3 v 10,Square,Learning,EE,COMPOSITE
4,0,3 v 10,Square,Learning,EE,COMPOSITE
4,1,3 v 10,Square,Learning,EE,COMPOSITE
4,0,3 v 10,Square,Learning,EE,COMPOSITE
4,1,3 v 10,Square,Learning,EE,COMPOSITE
4,1,3 v 10,Square,Learning,EE,COMPOSITE
4,0,3 v 10,Square,Learning,EE,COMPOSITE
4,0,3 v 10,Square,Learning,EE,COMPOSITE
4,1,3 v 10,Square,Learning,EE,COMPOSITE
4,1,3 v 10,Square,Learning,EE,COMPOSITE
5,1,5 v 6,Triangle,Learning,EE,PRIME
5,1,5 v 6,Triangle,Learning,EE,PRIME
5,1,5 v 6,Triangle,Learning,EE,PRIME
5,0,5 v 6,Triangle,Learning,EE,PRIME
5,0,5 v 6,Triangle,Learning,EE,PRIME
5,0,5 v 6,Triangle,Learning,EE,PRIME
5,0,5 v 6,Triangle,Learning,EE,PRIME
5,1,5 v 6,Triangle,Learning,EE,PRIME
5,1,5 v 6,Triangle,Learning,EE,PRIME
5,0,5 v 6,Triangle,Learning,EE,PRIME
6,1,4 v 11,Triangle,Learning,SA,COMPOSITE
6,1,4 v 11,Triangle,Learning,SA,COMPOSITE
6,0,4 v 11,Triangle,Learning,SA,COMPOSITE
6,0,4 v 11,Triangle,Learning,SA,COMPOSITE
6,0,4 v 11,Triangle,Learning,SA,COMPOSITE
6,0,4 v 11,Triangle,Learning,SA,COMPOSITE
6,1,4 v 11,Triangle,Learning,SA,COMPOSITE
6,1,4 v 11,Triangle,Learning,SA,COMPOSITE
6,0,4 v 11,Triangle,Learning,SA,COMPOSITE
6,0,4 v 11,Triangle,Learning,SA,COMPOSITE
7,0,6 v 11,Circle,Learning,SA,PRIME
7,1,6 v 11,Circle,Learning,SA,PRIME
7,1,6 v 11,Circle,Learning,SA,PRIME
7,1,6 v 11,Circle,Learning,SA,PRIME
7,1,6 v 11,Circle,Learning,SA,PRIME
7,0,6 v 11,Circle,Learning,SA,PRIME
7,0,6 v 11,Circle,Learning,SA,PRIME
7,0,6 v 11,Circle,Learning,SA,PRIME
7,1,6 v 11,Circle,Learning,SA,PRIME
7,1,6 v 11,Circle,Learning,SA,PRIME
8,0,5 v 10,Triangle,Learning,EE,COMPOSITE
8,1,5 v 10,Triangle,Learning,EE,COMPOSITE
8,1,5 v 10,Triangle,Learning,EE,COMPOSITE
8,1,5 v 10,Triangle,Learning,EE,COMPOSITE
8,0,5 v 10,Triangle,Learning,EE,COMPOSITE
8,1,5 v 10,Triangle,Learning,EE,COMPOSITE
8,1,5 v 10,Triangle,Learning,EE,COMPOSITE
8,0,5 v 10,Triangle,Learning,EE,COMPOSITE
