BEEID,CHOICE,SHAPE,NUMBER,CONDITION,CNUM,PRIMECOMP
1,0,Square,5 v 12,Eeodd,1,PRIME
1,0,Square,5 v 12,Eeodd,2,PRIME
1,1,Square,5 v 12,Eeodd,3,PRIME
1,0,Square,8 v 12,Eeodd,4,PRIME
1,1,Circle,4 v 11,Eeodd,5,PRIME
1,0,Circle,4 v 11,Eeodd,6,PRIME
1,0,Triangle,5 v 10,Eeodd,7,PRIME
1,0,Triangle,5 v 10,Eeodd,8,PRIME
1,0,Triangle,5 v 10,Eeodd,9,PRIME
1,1,Circle,4 v 11,Eeodd,10,PRIME
1,1,Circle,4 v 11,Eeodd,11,PRIME
1,1,Circle,4 v 11,Eeodd,12,PRIME
1,1,Circle,4 v 11,Eeodd,13,PRIME
1,0,Triangle,4 v 13,Eeodd,14,PRIME
1,0,Triangle,4 v 13,Eeodd,15,PRIME
1,0,Triangle,4 v 13,Eeodd,16,PRIME
1,1,Triangle,4 v 13,Eeodd,17,PRIME
1,1,Square,5 v 12,Eeodd,18,PRIME
1,1,Square,5 v 12,Eeodd,19,PRIME
1,1,Square,5 v 12,Eeodd,20,PRIME
1,1,Square,5 v 12,Eeodd,21,PRIME
1,1,Square,5 v 12,Eeodd,22,PRIME
1,0,Square,5 v 12,Eeodd,23,PRIME
1,0,Triangle,6 v 11,Eeodd,24,PRIME
1,1,Triangle,6 v 11,Eeodd,25,PRIME
1,1,Triangle,6 v 11,Eeodd,26,PRIME
1,1,Triangle,6 v 11,Eeodd,27,PRIME
1,0,Triangle,6 v 11,Eeodd,28,PRIME
1,1,Triangle,6 v 11,Eeodd,29,PRIME
1,1,Triangle,6 v 11,Eeodd,30,PRIME
2,1,Square,6 v 13,SAeven,1,COMPOSITE
2,0,Square,6 v 13,SAeven,2,COMPOSITE
2,0,Triangle,4 v 11,SAeven,3,COMPOSITE
2,1,Triangle,4 v 11,SAeven,4,COMPOSITE
2,1,Triangle,4 v 11,SAeven,5,COMPOSITE
2,0,Circle,5 v 12,SAeven,6,COMPOSITE
2,1,Circle,5 v 12,SAeven,7,COMPOSITE
2,1,Square,5 v 6,SAeven,8,COMPOSITE
2,1,Square,5 v 6,SAeven,9,COMPOSITE
2,0,Triangle,3 v 10,SAeven,10,COMPOSITE
2,0,Triangle,3 v 10,SAeven,11,COMPOSITE
2,1,Triangle,3 v 10,SAeven,12,COMPOSITE
2,1,Circle,10 v 13,SAeven,13,COMPOSITE
2,1,Circle,10 v 13,SAeven,14,COMPOSITE
2,0,Circle,10 v 13,SAeven,15,COMPOSITE
2,0,Circle,10 v 13,SAeven,16,COMPOSITE
2,0,Circle,10 v 13,SAeven,17,COMPOSITE
2,1,Triangle,3 v 4,SAeven,18,COMPOSITE
2,1,Triangle,3 v 4,SAeven,19,COMPOSITE
